Price,Manufacturing_year,Engine capacity,KM driven,Ownership,Imperfections,Repainted Parts,Spare key_Yes,Transmission_Manual,Fuel type_Diesel,Fuel type_Petrol
381000,2018,1197,57747,1,26,5,True,True,False,True
476000,2016,1197,52736,1,12,5,True,True,False,True
448000,2016,1197,64434,2,17,8,True,True,False,True
454000,2017,1197,42316,2,0,0,False,True,False,True
518000,2017,1197,110283,2,7,4,True,True,False,True
327000,2017,998,98581,2,0,0,True,True,False,False
435000,2018,998,90082,2,0,0,False,True,False,False
652000,2018,1248,100984,1,0,0,True,False,True,False
635000,2018,1248,83762,2,0,0,False,True,True,False
524000,2019,1197,39639,2,19,12,True,True,False,True
330000,2014,998,37678,1,18,5,False,True,False,True
347000,2017,998,70769,2,17,7,True,False,False,True
439000,2019,998,37817,1,7,5,False,True,False,True
357000,2013,1197,88376,1,0,0,False,True,False,True
347000,2017,998,32701,1,4,2,True,True,False,True
976000,2021,1462,19967,1,2,0,True,True,False,True
375000,2015,998,27204,1,16,4,True,True,False,True
544000,2013,1248,96999,1,11,4,True,True,True,False
404000,2017,998,67082,1,1,12,True,False,False,True
449000,2019,1197,69689,1,13,6,False,True,False,True
677000,2020,1197,32117,2,16,3,True,False,False,True
500000,2019,998,59169,1,0,0,True,True,False,False
435000,2014,1197,63296,1,0,0,False,True,False,True
547000,2020,1197,58158,1,6,6,False,False,False,True
453000,2017,1197,116084,1,0,0,True,True,False,True
535000,2017,1197,69911,2,6,3,True,True,False,True
307000,2011,1197,39721,2,18,14,True,True,False,True
234000,2014,998,53066,1,13,4,False,True,False,True
470000,2020,998,52105,1,9,2,True,False,False,True
579000,2017,1373,51872,1,7,9,False,True,False,True
491000,2021,998,38233,1,13,2,True,True,False,True
454000,2013,1248,100777,1,20,9,True,True,True,False
921000,2022,1197,27338,1,3,0,True,False,False,True
287000,2013,998,75649,2,0,0,False,True,False,True
737000,2020,1462,63804,1,7,5,False,True,False,True
497000,2019,1197,71773,1,6,6,True,False,False,True
294000,2017,796,69275,1,0,0,False,True,False,True
193000,2012,998,72136,2,15,7,True,True,False,True
552000,2020,998,37683,1,11,4,True,True,False,False
1089000,2022,1462,11953,1,11,0,True,False,False,True
285000,2012,998,105803,1,14,0,True,True,False,False
429000,2020,998,41534,1,6,4,True,True,False,False
565000,2022,1197,11679,1,7,2,True,True,False,True
588000,2018,1197,44226,1,4,8,True,True,False,True
434000,2018,998,108085,2,20,9,False,True,False,False
1220000,2023,1462,8892,1,0,0,True,True,False,True
886000,2020,1462,28539,1,15,2,True,False,False,True
600000,2016,1373,39516,1,11,7,True,True,False,True
318000,2017,998,51875,2,7,5,True,False,False,True
522000,2015,1373,80161,2,14,7,False,False,False,True
373000,2016,998,78845,1,8,2,True,True,False,True
393000,2016,998,94780,2,15,11,True,False,False,True
466000,2019,998,36411,2,9,0,True,False,False,True
519000,2015,1373,77033,2,12,7,True,True,False,True
484000,2022,998,20971,1,5,1,True,True,False,False
446000,2020,998,17104,1,3,1,True,False,False,True
560000,2017,1197,99905,1,13,9,True,False,False,True
578000,2016,1373,50044,1,9,5,True,True,False,True
651000,2023,998,12621,1,6,1,False,False,False,True
441000,2019,998,27670,2,1,3,True,False,False,True
552000,2023,998,1207,1,1,0,True,False,False,True
450000,2012,1248,100146,1,31,9,True,True,True,False
297000,2013,998,44631,1,0,0,True,True,False,True
664000,2018,1373,85512,1,6,12,False,False,False,True
483000,2022,998,13814,1,1,0,True,True,False,True
412000,2014,1197,124716,1,0,0,True,True,False,True
413000,2018,998,41964,2,6,1,True,False,False,True
475000,2019,998,57936,1,13,6,False,True,False,True
245000,2011,998,85612,1,19,12,False,True,False,True
345000,2015,998,52911,1,23,6,True,True,False,True
1258000,2023,1462,28161,1,1,0,True,True,False,True
456000,2014,1197,41277,1,4,1,True,True,False,True
936000,2020,1462,39121,1,0,0,True,False,False,True
462000,2018,998,31440,1,15,5,False,True,False,True
1408000,2022,1462,10786,1,0,0,True,False,False,True
266000,2012,998,71136,1,29,4,True,True,False,True
501000,2021,998,45951,2,9,12,True,True,False,True
361000,2016,998,62835,2,4,6,True,False,False,True
358000,2016,998,85873,2,23,4,False,False,False,True
278000,2012,998,63196,1,0,0,True,True,False,True
266000,2012,998,79028,1,26,3,True,True,False,True
510000,2018,998,22237,1,9,21,False,True,False,True
358000,2014,998,82634,1,0,0,True,True,False,False
431000,2014,1197,55450,2,0,0,False,True,False,True
489000,2019,998,63339,2,0,0,False,True,False,False
547000,2013,1373,48598,1,3,1,False,True,False,True
525000,2016,1197,31322,2,9,3,False,True,False,True
377000,2014,1197,80409,1,0,0,True,True,False,True
472000,2016,1197,75058,1,22,2,True,True,False,True
211000,2014,796,60963,1,21,7,True,True,False,True
378000,2017,998,78252,2,0,0,True,True,False,False
323000,2017,998,70605,1,0,0,True,False,False,True
297000,2016,998,94154,2,8,9,True,False,False,True
710000,2022,1197,25919,1,0,0,True,True,False,True
485000,2014,1197,27791,1,8,2,False,True,False,True
565000,2020,998,40609,1,6,4,True,True,False,False
520000,2017,1373,62978,1,4,2,False,True,False,True
397000,2017,998,115719,2,0,0,True,True,False,False
544000,2017,1197,27135,1,23,2,False,True,False,True
356000,2014,998,65835,1,15,11,True,True,False,False
488000,2018,998,57098,1,9,1,True,True,False,False
449000,2017,1197,34421,2,4,9,False,True,False,True
825000,2021,1197,4744,1,0,0,False,False,False,True
